,Description,Fixing_time,Severity,Priority
10,"Created by Thorsten Heit (thorsten@wurzelausix.cs.uni-sb.de) on Wednesday, April 8, 1998 7:09:13 AM PDT
Additional Details :
I do not know what problem could arise, but before
trying it I installed the following patch to remove
some compiler warning about redefining symbols:

(only seen on Sparc/Linux which is a big endian machine,
not on x86/Linux)

--- ns/include/mcom_db.h.orig   Wed Apr  8 16:01:41 1998
+++ ns/include/mcom_db.h        Wed Apr  8 16:02:09 1998
@@ -420,8 +420,10 @@
 /*
  *    Why you would want to override the system defines?
  */
+#if !defined(__sparc__)
 #if BYTE_ORDER != LITTLE_ENDIAN
 #define BYTE_ORDER LITTLE_ENDIAN
+#endif
 #endif
 #endif
--- ns/dbm/include/mcom_db.h.orig       Tue Mar 31 04:05:30
1998
+++ ns/dbm/include/mcom_db.h    Wed Apr  8 16:06:07 1998
@@ -398,8 +398,10 @@
 __END_DECLS

 #ifdef linux
+#if !defined(__sparc__)
 #if BYTE_ORDER != LITTLE_ENDIAN
 #define BYTE_ORDER LITTLE_ENDIAN
+#endif
 #endif
 #endif",152,minor,P3
11,"Created by steve orens (sorens@acm.org) on Wednesday, April 8, 1998 10:28:12 AM PDT
Additional Details :
mozilla for the mainctosh throws out the above user break on
startup. this prevents it from getting to its preferences
correctly, i believe which is also preventing things like
cookies from working. Also, every time you startup, it asks
you which user you are again.

i built this version of mozilla on a different hard drive
than the boot drive (hence the /dev/). however, when i moved
the client app to the boot drive, it didn
Updated by Mike Pinkerton (pinkerton@netscape.com) on Monday, April 13, 1998 11:28:13 AM PDT
Additional Details :
This is a duplicate of bug #163. The asking about user profile at startup is
hardwired for now, and isn''t really a bug. See bug #163 for a patch which I will
integrate into the tree at first chance.
Updated by Wan-Teh Chang (wtc@netscape.com) on Friday, April 24, 1998 12:19:16 PM PDT
Additional Details :
Assigned bug to myself.

This bug has been fixed as Mike Pinkerton suggested.
The fix is checked into ns/nsprpub/pr/src/md/macio.c,
revision 3.2.

Closed the bug.",1003,major,P2
12,"Created by Stan Bobrovskiy (stanb@real.com) on Wednesday, April 8, 1998 12:08:13 PM PDT
Additional Details :
After configuring an external viewer with WWW_RegisterViewer
Navigator 4.04 and 5.0 crashes when you click on a link that
belongs to that registered viewer. The crash is - Access
Violation, using a pointer without checking if it is not
NULL.
The same thing happens if using OLE to register external
viewer.
The reason of the crash is a new piece of code in
ns\cmd\winfe\cxsave.cpp in CSaveCX::CanCreate() method:

//  If this file exists, then we must attempt another temp
file.
if(-1 != _access(pLocalName, 0))    {
	int type = NET_URL_Type(pUrl->address);
// bug 63751 for Mail/News attachment

pUrl here is NULL, so simple change fixes the cresh:

//  If this file exists, then we must attempt another temp
file.
if(-1 != _access(pLocalName, 0))    {
   if(pUrl)
   {
      int type = NET_URL_Type(pUrl->address);
      // bug 63751 for Mail/News attachment
      ...
   }
Updated by Garrett Arch Blythe (blythe@netscape.com) on Monday, August 10, 1998 3:14:06 PM PDT
Additional Details :
Don't know who bugzilla@mozilla.org would be, or why they would desire to fix
the bug.  Taking the bug over as clearly a windows issue.
Updated by Garrett Arch Blythe (blythe@netscape.com) on Monday, August 10, 1998 3:57:40 PM PDT
Additional Details :
A fix has been checked into the mozilla code base.",991,normal,P3
13,"Created by Frank van der Linden (frank@wins.uva.nl) on Wednesday, April 8, 1998 3:46:34 PM PDT
Additional Details :
Mozilla does not compile on NetBSD. I made it compile and
run on NetBSD/i386. The diffs are at:

ftp://ftp.netbsd.org/pub/NetBSD/misc/fvdl/mozilla/diff.001

These diffs mainly deal with getting things to work on
NetBSD. This first patch is only tested for the i386
platform, other platforms may need some small modifications
in the MD parts of the code, so more diffs are likely to
follow. I also split out some of the *BSD defines, to not
make them depend on eachother.

In further bugreports for NetBSD, I will probably be using
the directory mentioned above to make the patches available
to you.

- Frank

P.S.
     I selected the ""PC"" platform because it allowed me to
     specify the ""other"" category :-) But it is by no means
     the only NetBSD platform.
Updated by Wan-Teh Chang (wtc@netscape.com) on Wednesday, April 22, 1998 12:58:23 PM PDT
Additional Details :
Added myself to the CC list.

I will look at the diffs concerning ns/nsprpub.
Updated by Frank van der Linden (frank@wins.uva.nl) on Sunday, May 24, 1998 4:43:14 PM PDT
Additional Details :
The updated changes for the 1998-04-29 version can be found in
ftp://ftp.netbsd.org/ftp/pub/NetBSD/misc/fvdl/mozilla/diff-19980429.001

There weren't many changes; just a few conflicts with changes made in the main
source tree were resolved.
Updated by Frank van der Linden (frank@wins.uva.nl) on Sunday, May 24, 1998 4:45:42 PM PDT
Additional Details :
Just to be a bit clearer, I updated the version & platform in the bugreport
(I hope the update for that works in bugzilla)
Updated by Frank van der Linden (frank@wins.uva.nl) on Tuesday, August 4, 1998 12:02:11 PM PDT
Additional Details :
The remainder of the patches (i.e. the ones that are left now that the nsprpub
part has been integrated) for the 1998-07-28 release can be found in
ftp://ftp.netbsd.org/pub/NetBSD/misc/fvdl/mozilla/diff-19980728.001

This diff does contain 2 additions to files that already were patched; one
because the name of a jmpbuf index was changed in the arm32 specific files
of NetBSD, and another that makes the compile always use -fPIC.",1966,normal,P3
14,"Created by Darrell Kindred (dkindred=mozilla@cs.cmu.edu) on Wednesday, April 8, 1998 5:18:59 PM PDT
Additional Details :
Using Motif 1.2.4 under Linux, menus in HTML forms are not
wide enough for both the text of the longest item and the
little arrow button on the right.  It looks like the width
of the arrow is not taken into account.  For an example with
screenshot, see
  http://www.cs.cmu.edu/People/dkindred/bugs/menu-width.html
Updated by Ramiro Estrugo (ramiro@netscape.com) on Wednesday, April 29, 1998 2:46:32 AM PDT
Additional Details :
Assign to ramiro.

Yes the combo box sucks and has lots of bugs.  Thanks.",249,minor,P2
15,"Created by Jukka Santala (donwulff@iki.fi) on Wednesday, April 8, 1998 5:46:05 PM PDT
Additional Details :
This problem is already known to Netscape, since quick
debugging turned up:

/*
 * BUG BUG: We''re restoring the break state to the beginning
of the buffer - ie
 * to before the space we skipped above. We need to fix the
space skipping mechanism
 * to remove this case (we can go into an infinite loop here
if there''s not enough space
 * for the first word).
 *
 * Should be able to have a new flag ""canSkipSpace"" but then
actually don''t skip it. Then
 * if the line does fit and it''s at the beginning, we can
skip the space. lo_FindLineBreak
 * should probably be the one to do this work so that the
width we get back is correct.
 */

This text appears in LO_Layout_Text_Block() of
lib\layout\leytext.c, 6486 lines into it to be exact. A
quick way to skip it for stable build is to quote out the
""continue"" statement at the end of the function, altough
this will cause at the very least bad formattign and
potential loss of readability/text in the browser. However,
for debugging and testing etc. I find this more desirable
than an all-out crash while waiting for a correct patch,
which I assume by the remark in the source-code Netscape is
working on if hasn''t already finished.

To actually see this bug in action (Well, as much as there''s
to see in a hanging up browser) try the page
http://www.cnet.com/Content/Builder/Authoring/Xml20/ss04.htm
l - warning, make sure you have nothing important unsaved/in
process in Mozilla, because there''s no graceful way out of
this.
Updated by Nisheeth Ranjan (nisheeth@netscape.com) on Sunday, April 26, 1998 6:31:54 PM PDT
Additional Details :
Actually, Jukka, its good that you reported this problem because the engineer
who wrote this comment was a contractor and is no longer at Netscape.  So nobody
at Netscape was dealing with this problem.

Am assigning this bug to myself...  Thanks again, Jukka.",152,minor,P1
16,"Created by Jacob Berkman (jberk+@cmu.edu) on Wednesday, April 8, 1998 10:31:37 PM PDT
Additional Details :
some web pages have ""overlined"" links.
One site that usually does for me is http://freshmeat.net
Updated by Nisheeth Ranjan (nisheeth@netscape.com) on Sunday, April 26, 1998 6:33:51 PM PDT
Additional Details :
Thanks Jacob.

Toshok is working on this problem already.  Am assigning the bug to him...
Updated by   (toshok@netscape.com) on Monday, May 18, 1998 11:46:36 AM PDT
Additional Details :
changing platform to X-windows
Updated by   (toshok@netscape.com) on Monday, May 18, 1998 1:48:19 PM PDT
Additional Details :
just checked in a fix for this in cmd/xfe/lay.c.  please update that file and
try to reproduce the problem.  if you can, please reopen this bug.  i've already
tried freshmeat.net, and it seems to be ok.

chris",991,minor,P2
17,"Created by Paul De Bra (debra@win.tue.nl) on Thursday, April 9, 1998 5:41:11 AM PDT
Additional Details :
Load the mentioned page. It shows two frames.
The left frame shows some kind of index.
Click on one of the words in the index.
Navigator crashes.

This bug was already present in Navigator 4.04 and 4.05 and
occurs on all unix versions but not on Windows''95.
(The bug never showed up in the list of known issues.)",248,critical,P1
18,"Created by Ben Laurie (ben@algroup.co.uk) on Thursday, April 9, 1998 10:57:38 AM PDT
Additional Details :
Although I haven''t actually seen this cause a problem, it
seems clearly wrong:

ns\lib\layout\layimage.c line 2861:

    LO_ImageStruct *lo_image;

should be:

    LO_ImageStruct *lo_image=NULL;
Updated by Wan-Teh Chang (wtc@netscape.com) on Friday, April 24, 1998 12:24:12 PM PDT
Additional Details :
Added the file name to ""Summary Description"".
Assigned bug to owner of the layout module,
David Williams <djw@netscape.com>.
Updated by Nisheeth Ranjan (nisheeth@netscape.com) on Sunday, April 26, 1998 6:37:29 PM PDT
Additional Details :
Hmm...  Wan-Teh's bug assignment to djw  didn't go through properly because the
assigned to field was still bugzilla@mozilla.org.

Anyway, am assigning the bug to myself...",171,normal,P3
19,"Created by Brendan White (bmwt@bullwinkle.pas.rochester.edu) on Thursday, April 9, 1998 11:39:48 AM PDT
Additional Details :
When selecting text from external application and pasting
into a text entry field, the middle mouse button (paste)
doesnt always work.  For example, pasting to the ""enter a
bug ID"" on
http://casetracker.netscape.com/Bugzilla/navframe.html

doesnt work.
Updated by Steve Lamm (slamm@netscape.com) on Thursday, April 30, 1998 10:38:29 AM PDT
Additional Details :
I am the one most familiar with this code.  I add it to my plate of bugs.",152,normal,P2
20,"Created by Rick Niles (niles@axp745.gsfc.nasa.gov) on Thursday, April 9, 1998 1:19:24 PM PDT
Additional Details :
Copy ns/nsprpub/config/LinuxELF2.0.mk to
ns/nsprpub/config/LinuxELF2.1.mk and
then add the follow hacked patch (there
should be real LINUX2_2 flags in the
source later I guess):

*** Linux.mk    Thu Apr  9 16:18:45 1998
--- Linux.mk.orig       Thu Apr  9 16:18:20 1998
*************** ifeq ($(OS_RELEASE),2.0)
*** 77,86 ****
  PLATFORM_FLAGS                += -DLINUX2_0
  endif

- ifeq ($(OS_RELEASE),2.1)
- PLATFORM_FLAGS                += -DLINUX2_0
- endif
-
  #
  # Linux ppc and 2.0 have shared libraries.
  #
--- 77,82 ----
Updated by Wan-Teh Chang (wtc@netscape.com) on Wednesday, April 22, 1998 12:56:37 PM PDT
Additional Details :
Assigned the bug to myself.
Updated by Wan-Teh Chang (wtc@netscape.com) on Tuesday, June 16, 1998 8:25:19 PM PDT
Additional Details :
I changed mozilla/nsprpub/config/Linux.mk
so that it does not define version-specific
macros.  Instead, now we use feature-based
macros when possible.

So it should build just fine on Linux 2.1.x
now.

Marked the bug closed.",1002,normal,P3
21,"Created by chris tacy (chris@enginered.com) on Thursday, April 9, 1998 4:53:50 PM PDT
Additional Details :
http://www.cnet.com/Content/Builder/Business/Shafer/040698/?
st.bl.fd.ts2.mbcol

this is a build of the newest source (from today). it''s the
debugging build. NT4.0, sp3. VC++ w/sp.
communicator completely hangs (can''t do anything with it,
can''t get a trace, nothing). have to kill it.
this happens every time i go to the above URL.

HTML looks standard except maybe the CSS stuff.",186,major,P1
22,"Created by Boris Tobotras (boris@xtalk.msk.su) on Thursday, April 9, 1998 9:41:16 PM PDT
Additional Details :
To reproduce is easy: point navigator to the HTML document:
<HTML><HEAD></HEAD><BODY><P>Can you see this &amp;
that?</HTML>

Fix seems to be easy as well:

--- mozilla-orig/ns/lib/libi18n/ugendata.c      Tue Mar 31
06:04:14 1998
+++ mozilla/ns/lib/libi18n/ugendata.c   Wed Apr  1 19:04:18
1998
@@ -251,6 +251,14 @@
                {CS_DEFAULT,0xFF,0x00},
                {CS_DEFAULT,0xFF,0x00}
        }},
+    /*+ [BT] +*/
+       {       CS_KOI8_R,      {
+               {CS_KOI8_R,0x80,0xFE},
+               {CS_ASCII,0x00,0x7E},
+               {CS_DEFAULT,0xFF,0x00},
+               {CS_DEFAULT,0xFF,0x00}
+       }},
+    /*- [BT] -*/
        {       CS_CNS_8BIT,    {
                {CS_CNS11643_1,0xA1,0xFE},
                {CS_CNS11643_2,0x8E,0x8E},


	This was introduced in 4.x and is _*very*_ annoying and
disturbing for KOI8 users.",143,minor,P3
23,"Created by Darrell Kindred (dkindred=mozilla@cs.cmu.edu) on Friday, April 10, 1998 12:59:33 AM PDT
Additional Details :
I get a reproducible seg fault from the 19980408 release
when visiting this document:

http://www.cs.cmu.edu/People/dkindred/bugs/moz-crash-0410.html

The problem seems to be caused by javascript code setting
the default value of a TEXTAREA field.

(Linux, Motif 1.2.4)
Updated by Darrell Kindred (dkindred=mozilla@cs.cmu.edu) on Friday, April 10, 1998 1:03:58 AM PDT
Additional Details :
Backtrace is available here:
  http://www.cs.cmu.edu/People/dkindred/bugs/moz-crash-0410-bt.txt
Updated by   (toshok@netscape.com) on Monday, May 18, 1998 11:28:19 AM PDT
Additional Details :
Just checked in a fix submitted by waider@waider.ie (Ronan Waide) for this
problem.",810,critical,P2
24,"Created by Hubert Figuiere (Hubert.Figuiere@solsoft.com) on Friday, April 10, 1998 5:41:40 AM PDT
Additional Details :
In ''ns/cmd/xfe/Microline3.0/XmL/Grid.c'', you should insert
a ''#include <Xm/DropSMgr.h>'' to be able to compile it with
LessTif 0.83 under Linux. Otherwise
''XmDropProcCallbackStruct'' is undefined.

This happens with both 03-31 and 04-08 snapshots.


Hub",150,trivial,P3
25,"Created by Hubert Figuiere (Hubert.Figuiere@solsoft.com) on Friday, April 10, 1998 5:45:25 AM PDT
Additional Details :
At link-time, the Makefile has Motif libXm.a hardcoded to be
in /usr/X11R6/lib. On my system it is /usr/local/lib

I patched the makefile but a configurable way would be
better.
This happens in both 03-31 and 04-08 releases.

Hub",150,trivial,P3
26,"Created by Darrell Kindred (dkindred=mozilla@cs.cmu.edu) on Friday, April 10, 1998 11:00:06 AM PDT
Additional Details :
In versions 19980331 and 19980408, line breaks are
sometimes improperly inserted after the first character
in a word.  You can see the effects of this bug here:

  http://www.cs.cmu.edu/People/dkindred/bugs/word-wrap.html

I submitted a patch for this bug to mozilla.patches:

  news://news.mozilla.org/352C662E.641C6967@cmu.edu",164,normal,P3
27,"Created by Ben Laurie (ben@algroup.co.uk) on Friday, April 10, 1998 2:12:58 PM PDT
Additional Details :
OK, it''s a small thing, and it''s MS''s fault, but it has
always annoyed me. Ampersands don''t get displayed correctly
in the title bar on Windows. This fixes it. Give me CVS
access and I''ll fix it everywhere :-)

In cmd/winfe/genchrom.cpp:

void CGenericChrome::SetDocumentTitle(const char *lpszText)

and

void CGenericChrome::SetWindowTitle(const char *lpszText)

(so why doesn''t one of these call the other?) should look
like this:

void CGenericChrome::SetWindowTitle(const char *lpszText)
{
	m_csWindowTitle = lpszText;

	CString cs;
	cs = ""Ben "" + m_csDocTitle;
	if (!m_csDocTitle.IsEmpty()) {
		cs += "" - "";
	}
	cs += m_csWindowTitle;
#if 1
// Ben fix ''&'' in title
	char *buf=(char *)alloca(cs.GetLength()*2+1);
	int s,d;
	for(s=d=0 ; s < cs.GetLength() ; ++d,++s)
		{
		if(cs[s] == ''&'')
			buf[d++]=''&'';
		buf[d]=cs[s];
		}
	buf[d]=''\0'';
	m_pParent->SetWindowText(buf);
#else
	m_pParent->SetWindowText(cs);
#endif
}",187,trivial,P3
28,"Created by Dwight Chang (dcrs6000@pacbell.net) on Friday, April 10, 1998 6:35:05 PM PDT
Additional Details :
Hardware: IBM RS/6000
Operating System: AIX 4.2.1

Problem:
  I noticed that h_page.c and hash.c did not compile
because:
            BYTE_ORDER    BIG_ENDIAN
were not defined.  There seems to be a problem with the
mcom_db.h include file.  Not sure, but I think there are
some unmatched ""endif"".  The result of which is that the:
      #include <sys/machine.h>
statement is not activated.  Which result in the undefined
references.

Question:
  Is there a way to get the ""gmake -ek"" command to use
the GNU gcc, g++, c++ compliers that are in my
/usr/local/bin directory?  Everytime I executed
gmake -ek command I ended up using AIX''s ""c"" compiler.
I do not have a ""c++"" compiler from IBM.  The only
""c++"" compiler I have is the GNU one which resides
in the /usr/local/bin directory.",271,normal,P5
